"PHILIPPINES","....BC - Others",..,..,..,..,..,..,..,156.00,190.00,314.00,1135.00,1498.70,1653.94,1480.40,4825.78,3441.62,3467.74,3189.50,518.84,403.13,427.61,717.19
"PHILIPPINES","..FRESHWATER FISHPOND",2021859.00,2064519.00,1823550.00,2023530.00,2240979.18,2762287.00,2988312.00,3258015.00,4044631.00,4615946.24,6895100.30,7593239.38,8662303.46,9811733.24,8932271.33,9106615.74,9942098.71,10862770.35,11127191.66,11019392.79,10179933.47,11667307.00
"PHILIPPINES","....FF - Milkfish",..,460.00,..,1100.00,..,975.00,1500.00,1622.00,10.00,1.44,396.00,1645.54,635.46,194.98,236.86,253.58,646.98,607.11,643.74,389.52,531.92,410.41
"PHILIPPINES","....FF - Tilapia",1874391.00,1906593.00,1682955.00,1854576.00,2083720.38,2582023.00,2763880.00,3038462.00,3825754.00,4358663.80,6622958.23,7279418.19,8312902.85,9479474.17,8565843.26,8702264.64,9487440.85,10381129.13,10641035.37,10528390.88,9687160.06,11109949.82
"PHILIPPINES","....FF - Carp",9327.00,11717.00,13812.00,20344.00,19351.00,15127.00,11699.00,14210.00,21062.00,25865.00,30945.03,32162.78,43671.25,33875.69,39550.56,29811.03,24648.74,26575.26,27605.47,23792.24,21114.04,18127.69
"PHILIPPINES","....FF - Catfish",54477.00,46183.00,37620.00,60297.00,54790.00,73612.00,130848.00,117487.00,114712.00,146503.00,156615.61,178173.09,201268.35,223258.04,244634.97,285507.84,337403.64,358735.24,343622.41,364167.04,387321.96,445638.99
"PHILIPPINES","....FF - Gourami",6142.00,3266.00,1356.00,3258.00,2515.00,1030.00,1118.00,..,1375.00,2269.00,2130.36,4121.62,3874.47,8018.67,6965.16,7576.11,8218.02,5380.26,6159.35,6551.02,4132.65,7081.74
"PHILIPPINES","....FF - Mudfish",74878.00,91567.00,83221.00,82485.00,79129.80,87907.00,77715.00,84155.00,79557.00,80483.00,79937.23,91397.72,79205.95,56151.00,65063.34,73381.83,76000.83,79813.34,99839.82,89237.48,74100.85,81033.99
"PHILIPPINES","....FF - Freshwater prawn",..,..,..,..,..,..,..,..,..,..,1149.44,1930.96,14656.87,7061.77,808.49,845.19,1128.46,1837.99,1101.42,794.75,499.84,416.28
"PHILIPPINES","....FF - Others",2644.00,4733.00,4586.00,1470.00,1473.00,1613.00,1552.00,2079.00,2161.00,2161.00,968.40,4389.48,6088.26,3698.92,9168.69,6975.52,6611.19,8692.02,7184.08,6069.86,5072.15,4648.08
"PHILIPPINES","..FRESHWATER PEN",787640.00,881825.00,924292.00,1195013.00,1164355.00,595139.00,597047.82,1327973.00,1941113.00,2019016.00,1991217.00,2487460.40,3250850.22,3146046.15,2929169.16,3419685.52,3530194.37,3679434.49,3455062.23,3325220.05,2815492.38,3479345.71
"PHILIPPINES","....FP - Milkfish",618745.00,697239.00,676000.00,814269.00,732608.00,123607.00,305752.00,850435.00,1205486.00,1205739.00,1131503.00,1439503.95,1883710.31,1773817.66,1581468.90,1738565.46,1767047.85,1736641.60,1641602.46,1502062.58,1318250.53,2017347.17
"PHILIPPINES","....FP - Tilapia",136759.00,160903.00,157292.00,169829.00,172422.00,88282.00,64983.00,305115.00,429636.00,497591.00,585579.00,757674.49,945444.88,1071313.13,1048944.61,1248482.39,1270043.72,1401858.94,1411504.75,1353856.27,1130152.64,1145501.97
"PHILIPPINES","....FP - Carp",32136.00,23233.00,91000.00,210915.00,259325.00,383250.00,226312.82,172423.00,305991.00,315637.00,274097.00,290279.41,421673.78,300912.36,298752.50,432380.17,492795.62,540631.79,401613.63,468911.41,367012.61,315583.51
"PHILIPPINES","....FP - Catfish",..,..,..,..,..,..,..,..,..,49.00,..,2.55,1.45,..,3.15,..,..,10.40,..,58.95,33.60,814.50
"PHILIPPINES","....FP - Others",..,450.00,..,..,..,..,..,..,..,..,38.00,..,19.80,3.00,..,257.50,307.18,291.76,341.39,330.84,43.00,98.56
"PHILIPPINES","..FRESHWATER CAGE",1473666.00,1898478.00,1554871.00,1727257.00,1815570.00,2054620.00,2338016.25,2597983.00,3146519.00,3584733.00,4311477.00,6049335.56,6473777.62,8014418.68,7482905.09,6815099.52,8183154.55,7727830.78,7079864.57,7557626.57,7559895.76,8359145.67
"PHILIPPINES","....FC - Milkfish",..,..,2680.00,10600.00,43933.00,48828.00,144939.00,113688.00,85468.00,50412.00,774320.00,1058842.89,1177246.83,1534765.35,1445305.54,1110107.54,1402585.18,1319925.02,973403.89,1306223.06,1208170.30,1367735.14
"PHILIPPINES","....FC - Tilapia",1458174.00,1896955.00,1549105.00,1714467.00,1770012.00,1999186.00,2186862.25,2476536.00,3043708.00,3509972.00,3514374.00,4961985.83,5257188.66,6444899.83,6006044.96,5660623.10,6735202.63,6362984.50,6067714.01,6205924.78,6325876.80,6965356.73
"PHILIPPINES","....FC - Carp",1172.00,1457.00,3086.00,2130.00,1625.00,6606.00,6103.00,7647.00,17343.00,24199.00,22590.00,28335.54,39027.49,34481.13,31005.74,44307.79,45018.60,44693.72,38542.25,45179.41,25288.68,24910.70
"PHILIPPINES","....FC - Catfish",1.00,50.00,..,..,..,..,..,..,..,..,193.00,171.30,223.59,271.17,143.34,..,13.12,20.81,36.39,157.59,231.62,190.02
"PHILIPPINES","....FC - Others",14319.00,16.00,..,60.00,..,..,112.00,112.00,..,150.00,..,..,91.05,1.20,405.51,61.09,335.02,206.73,168.03,141.73,328.36,953.08
"PHILIPPINES","..MARINE PEN",10032.00,27452.00,313405.00,456045.00,484714.00,384578.00,536050.00,588742.00,987064.00,928273.62,965741.90,1372204.10,1856651.06,1976252.27,2443540.20,1900134.32,2361048.79,1971407.02,1374424.25,1130985.47,1113250.84,1158252.43
"PHILIPPINES","....MP - Milkfish",2900.00,5557.00,306532.00,441593.00,457029.00,370553.00,523743.00,570750.00,958153.00,896629.00,936845.55,1266728.19,1728087.17,1876934.94,2422226.82,1885659.04,2342337.03,1960043.75,1357879.87,1117745.88,1104932.38,1146408.01
