country,aqua_type,units,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
PHILIPPINES,....FP - Milkfish,tons,10779,14168,13729,15973,13605,2835,8274,19539.3,25685.07,24437.91,23815.58,26998.08,30326.38,27038.85,26434.65,28084.55,27762.05,27216.42,26492.17,24709.23,23934.99,32026.83
PHILIPPINES,....FP - Tilapia,tons,3714,4272,3748,4059,3688,2147,1713,8207.4,11768.51,13298.1,15619.75,19215.22,21119.58,21512.26,21533.37,22268.23,21379.5,21904.78,21358.55,21460.25,17604.14,17753.35
PHILIPPINES,....FP - Carp,tons,1747,1510,4379,10071,10236,18945,17481,8129,12541.01,15583,14833.65,17460.96,17941.16,13451.11,14548.13,15181.72,15550.44,16051.87,14788.66,14659.71,15071.06,13018.06
PHILIPPINES,....FP - Catfish,tons,..,..,..,..,..,..,..,..,..,1.15,..,0.03,0.02,..,0.03,..,..,0.13,..,0.39,0.22,6.76
PHILIPPINES,....FP - Others,tons,..,2,..,..,..,..,..,..,0.01,0.5,1.45,..,0.39,0.06,..,3.15,3.69,3.43,3.91,3.69,0.43,0.44
PHILIPPINES,..FRESHWATER CAGE,tons,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,....FC - Milkfish,tons,..,..,53,253,918,951,2862.8,2144.7,1581.2,839.2,10745.5,14248.01,14105.68,16074.2,16351.37,14165.29,13755.89,14957.73,10395.83,14075.29,12948.41,13874.06
PHILIPPINES,....FC - Tilapia,tons,30788,42615,29544,35207.2,37622,40779,46338.2,50178.93,53009.58,59019.24,60302.25,79000.75,81747.89,83748.84,84556.91,82527.2,85160.84,88536.74,75771.89,78788.86,83185.13,80443.91
PHILIPPINES,....FC - Carp,tons,48,64,81,72,55,331,454,506.8,805.32,1184.69,1230.96,1925.5,2158.78,1783.02,1707.52,1758.51,1761.48,1823.21,1571.66,1855.68,1422.69,1342.86
PHILIPPINES,....FC - Catfish,tons,..,1,..,..,..,..,..,..,..,..,3.97,3.35,4.38,4.88,2.77,..,0.16,0.14,0.37,1.13,2.19,1.45
PHILIPPINES,....FC - Others,tons,446,..,..,1,..,..,2,2,..,0.5,..,..,0.68,0.03,3.29,0.59,3.78,2.72,2.48,2.1,10.44,37.2
PHILIPPINES,..MARINE PEN,tons,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,....MP - Milkfish,tons,31,77,4957,5966,6182,5659,9070.69,10002.92,14172.59,13334.87,13695.95,18157.28,21997.7,21390.33,26680.2,21535.84,23878.86,22240.08,14244.48,11139.53,11301.77,11013.89
PHILIPPINES,....MP - Tilapia,tons,..,..,..,33,1,2,..,..,..,..,..,..,..,0.32,..,..,..,..,..,..,1.03,0.02
PHILIPPINES,....MP - Tiger prawn,tons,3,1,..,4,4,..,..,0.5,..,..,..,0.15,..,0.17,0.1,..,..,..,..,..,..,..
PHILIPPINES,....MP - Mudcrab,tons,23,24,30,18,19,19,15.4,16.92,15.65,1,..,34.52,..,..,..,..,..,0.02,..,..,..,..
PHILIPPINES,....MP - Endeavor prawn,tons,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.04,..
PHILIPPINES,....MP - White shrimp,tons,..,..,..,..,2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,....MP - Grouper,tons,6,48,2,7,15,15,9.63,17.05,33.69,53.4,52.96,103.09,108.31,86.66,23.02,13.4,4.5,0.04,0.06,0.25,0.33,0.46
PHILIPPINES,....MP - Siganid,tons,2,..,2,13,43,27,11.9,21.34,37.1,38.13,30.67,35.08,55.25,47.53,40.65,16.95,5.49,3.71,0.74,0.69,0.02,0.39
PHILIPPINES,....MP - Spiny lobster,tons,..,..,1,3,11,2,2.09,8.9,10.51,8.63,9.33,47.1,53.58,45.29,6.6,4.84,5.25,4.05,4.74,3.97,3.64,4.15
PHILIPPINES,....MP - Others,tons,3,27,3,5,19,14,3.5,5.37,24.86,6.65,5.3,40.71,6.6,4,3.31,1.64,4.98,3.46,6.38,4.21,0.42,0.78
PHILIPPINES,..MARINE CAGE,tons,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,....MC - Milkfish,tons,..,144,2588,2726,2690,4282,8410.5,11814.29,23179.12,30634.55,46211.34,61189.5,58367.36,57762.47,60519.21,82422.36,88811.41,100477.88,110003.07,104923.68,105848.35,106357.76
PHILIPPINES,....MC - Tilapia,tons,..,..,..,..,3.1,7,12,16.6,0.03,..,25.4,12.67,0.1,7.52,7.2,2.02,7.01,0.1,..,..,1.44,8.04
PHILIPPINES,....MC - Tiger prawn,tons,1,..,5,3,4,..,2.5,..,..,0.5,..,..,..,0.06,..,..,..,..,..,..,0.23,..
PHILIPPINES,....MC - Mudcrab,tons,..,25,7,6,4,4,5.3,7.62,11.42,13,14.9,6.87,6.91,9.62,1.15,..,..,0.05,..,..,..,2.55
PHILIPPINES,....MC - Endeavor prawn,tons,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,....MC - White shrimp,tons,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,....MC - Grouper,tons,30,101,113,138,136,82,78.18,102.66,136.45,143.93,187.11,229.17,2453.07,775.41,141.47,183.09,167.64,214.26,244.66,234.95,146.39,190.36
PHILIPPINES,....MC - Siganid,tons,1,40,2,6,23,24,47.62,62.62,82.4,49.31,35.42,47.57,47.09,53.51,49.19,34.79,34.95,62.46,63.53,77.59,63.8,45.13
PHILIPPINES,....MC - Spiny lobster,tons,8,5,9,16,16,15,7.7,9.1,8.81,10.53,13.38,17.42,18.3,18.5,82.44,63.07,32.87,8.53,4.7,4.8,6.1,7.76
PHILIPPINES,....MC - Others,tons,47,6,3,23,24,168,101.1,107.65,124.18,181.18,340.01,593.76,532.61,399.03,1168.17,1074.15,1370.7,808.86,396.6,365.45,191.05,158.97
PHILIPPINES,..OYSTER,tons,11896,13897,13418,14804,14222,19042,12570,14509.61,15915.3,16494.89,16838.35,20508.05,20174.82,19930.59,22525.52,21461.82,20648.37,22069.8,22355.21,20260.8,19512.36,22944.37
PHILIPPINES,..MUSSEL,tons,21027,11658,15533,15654,16957,13513,11646,13490.1,15038.2,20159.44,19690.29,20113.61,23017.22,19936.5,20876.79,22442.71,25660.44,22894.19,18761.77,15949.13,18774.55,19208.62
PHILIPPINES,..SEAWEED,tons,658114,657292,685336,696112,707039,785795,894857,988888.18,1204807.6,1338597.32,1468906.01,1505069.58,1666556.26,1739994.97,1801271.58,1840832.86,1751070.64,1558377.74,1549575.98,1566361.7,1404519.23,1415320.79
PHILIPPINES,..RICE FISH,tons,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,....RF - Milkfish,tons,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.21,0.28
PHILIPPINES,....RF - Tilapia,tons,..,..,..,..,..,..,..,..,..,..,..,1.19,0.83,2.6,57.85,43.46,61.84,2.29,2.17,2.75,2.18,2.37
PHILIPPINES,....RF - Carp,tons,..,..,..,..,..,..,..,..,..,..,..,0.2,0.08,0.32,7.28,4.4,7.29,0.13,..,0.08,0.12,0.15
PHILIPPINES,....RF - Catfish,tons,..,..,..,..,..,..,..,..,..,..,..,0.3,0.29,0.18,3.1,1.58,2.16,0.13,..,0.11,0.13,0.16
PHILIPPINES,....RF - Gourami,tons,..,..,..,..,..,..,..,..,..,..,..,0.1,0.14,0.16,5.36,1.98,2.12,0.55,..,0.41,0.42,0.1
PHILIPPINES,....RF - Mudfish,tons,..,..,..,..,..,..,..,..,..,..,..,1.25,0.9,1.36,1.2,1.23,1.73,0.18,..,0.11,0.15,0.19
PHILIPPINES,....RF - Others,tons,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2,0.51,0.27,0.27,0.2,..,..,0.38,0.25
PHILIPPINES,..SMALL FARM RESERVOIR,tons,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,....SFR - Milkfish,tons,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.41,..,..,..,..,..,..,0.01
PHILIPPINES,....SFR - Tilapia,tons,..,..,..,..,..,..,..,..,..,25.92,75.67,74.63,201.56,118.53,143.19,205.53,293.86,151.48,116.83,59.22,47.29,59.3
PHILIPPINES,....SFR - Carp,tons,..,..,..,..,..,..,..,..,..,0.07,1.12,2.02,8.57,5.93,4.92,10.83,17.05,7.16,7.28,2.94,2.32,1.37
PHILIPPINES,....SFR - Catfish,tons,..,..,..,..,..,..,..,..,..,0.13,0.83,2.34,26.29,7.07,5.86,9.55,8.89,6.88,6.1,3.94,2.73,2.3
PHILIPPINES,....SFR - Gourami,tons,..,..,..,..,..,..,..,..,..,0.07,0.55,0.45,1.56,3.91,2.96,3.82,4.62,2.56,1.25,0.72,0.65,0.56
PHILIPPINES,....SFR - Mudfish,tons,..,..,..,..,..,..,..,..,..,0.31,2.1,2.51,11.24,8.48,9.85,13.71,14.63,9.13,7.48,5.15,3.08,2.89
PHILIPPINES,....SFR - Others,tons,..,..,..,..,..,..,..,..,..,0.01,0.32,1.23,4.11,3.46,1.26,1.61,1.19,0.94,7.53,0.08,0.62,0.44
