Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2775","Aquatic Plants","1990","1990","tonnes","454776","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2775","Aquatic Plants","1991","1991","tonnes","404453","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2775","Aquatic Plants","1992","1992","tonnes","447073","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2775","Aquatic Plants","1993","1993","tonnes","384375","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2775","Aquatic Plants","1994","1994","tonnes","444785","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2775","Aquatic Plants","1995","1995","tonnes","403767","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2775","Aquatic Plants","1996","1996","tonnes","349359","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2775","Aquatic Plants","1997","1997","tonnes","369727","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2775","Aquatic Plants","1998","1998","tonnes","358746","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2775","Aquatic Plants","1999","1999","tonnes","353549","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2775","Aquatic Plants","2000","2000","tonnes","369407","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2775","Aquatic Plants","2001","2001","tonnes","351008","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2775","Aquatic Plants","2002","2002","tonnes","380316","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2775","Aquatic Plants","2003","2003","tonnes","333293","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2775","Aquatic Plants","2004","2004","tonnes","332417","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2775","Aquatic Plants","2005","2005","tonnes","330551","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2775","Aquatic Plants","2006","2006","tonnes","320754","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2775","Aquatic Plants","2007","2007","tonnes","306253","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2775","Aquatic Plants","2008","2008","tonnes","312565","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2775","Aquatic Plants","2009","2009","tonnes","319455","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2775","Aquatic Plants","2010","2010","tonnes","317847","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2775","Aquatic Plants","2011","2011","tonnes","312136","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2775","Aquatic Plants","2012","2012","tonnes","300163","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2775","Aquatic Plants","2013","2013","tonnes","312068","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1961","1961","tonnes","23900","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1962","1962","tonnes","22100","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1963","1963","tonnes","39200","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1964","1964","tonnes","25950","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1965","1965","tonnes","28400","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1966","1966","tonnes","40400","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1967","1967","tonnes","19000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1968","1968","tonnes","24100","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1969","1969","tonnes","18500","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1970","1970","tonnes","29800","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1971","1971","tonnes","18700","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1972","1972","tonnes","19720","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1973","1973","tonnes","26700","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1974","1974","tonnes","49209","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1975","1975","tonnes","56743","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1976","1976","tonnes","1120","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1977","1977","tonnes","1640","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1978","1978","tonnes","10205","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1979","1979","tonnes","34465","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1980","1980","tonnes","151670","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1981","1981","tonnes","150865","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1982","1982","tonnes","123440","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1983","1983","tonnes","78175","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1984","1984","tonnes","30390","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1985","1985","tonnes","62600","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1986","1986","tonnes","109373","A","Aggregate, may include official, semi-official, estimated or calculated data"
"BL","Commodity Balances - Livestock and Fish Primary Equivalent","5000","World","5520","Feed","2765","Crustaceans","1987","1987","tonnes","106160","A","Aggregate, may include official, semi-official, estimated or calculated data"
