province,type,metric,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Sulawesi Barat,brackish pond,tons,-,13.723,4.483,10.479,15.042,16.018,17.928,19.375,19.627,25.133,32.53
Maluku,brackish pond,tons,482,150,160,180,629,527,1.741,1.205,4.264,5.415,12.485
Maluku Utara,brackish pond,tons,360,8,6,23,69,127,85,296,253,156,92
Papua Barat,brackish pond,tons,-,2.624,38,99,56,189,1.164,1.154,110,2.988,441
Papua,brackish pond,tons,380,297,536,782,937,628,950,1.212,1.624,1.209,1.548
Indonesia,brackish pond,tons,643.975,629.61,933.832,959.509,907.123,1.416.038,1.602.748,1.756.799,2.344.671,2.428.389,2.498.966
Aceh,freshwater pond,tons,8.733,9.016,6.305,9.642,9.839,14.238,9.224,12.391,12.752,18.931,18.614
Sumatera Utara,freshwater pond,tons,14.243,15.674,16.742,18.541,12.228,29.512,41.181,46.829,60.042,64.213,64.205
Sumatera Barat,freshwater pond,tons,14.174,26.75,34.207,38.404,46.952,57.653,85.934,116.226,147.832,198.514,197.054
Riau,freshwater pond,tons,24.769,24.414,25.485,21.084,29.846,29.447,37.973,37.672,45.284,54.561,55.709
Kepulauan Riau,freshwater pond,tons,5.531,5.872,7.934,9.335,11.838,17.456,20.212,222.9,238.456,36.913,34.411
Jambi,freshwater pond,tons,34.768,43.932,51.059,60.308,68.207,100.16,140.731,34.584,36.221,268.752,316.933
Sumatera Selatan,freshwater pond,tons,4.427,3.893,6.214,8.851,10.713,13.82,23.673,1.982,1.399,46.012,55.635
Kepulauan Bangka Belitung,freshwater pond,tons,13.417,13.966,19.318,23.919,21.987,32.378,50.453,11.205,13.366,70.089,55.35
Bengkulu,freshwater pond,tons,536,751,693,1.033,841,1.2,1.352,56.076,58.573,2.275,1.028
Lampung,freshwater pond,tons,178,505,336,245,366,327,2.563,24.575,58.526,11.973,14.43
DKI Jakarta,freshwater pond,tons,6.83,3.365,2.683,2.905,915,14.055,5.617,4.156,3.036,5.168,4.266
Jawa Barat,freshwater pond,tons,110.247,127.578,118.162,147.941,158.871,247.369,295.715,357.026,424.231,478.758,517.622
Jawa Tengah,freshwater pond,tons,25.36,28.35,34.619,44.191,55.031,66.964,94.566,112.088,160.987,199.085,175.914
DI Yogyakarta,freshwater pond,tons,8.225,9.059,11.427,14.1,17.009,38.772,43.795,49.412,57.006,62.276,65.542
Jawa Timur,freshwater pond,tons,31.026,33.379,35.711,37.704,42.69,65.869,115.086,176.371,217.162,192.566,210.211
Banten,freshwater pond,tons,5.254,4.972,8.319,7.423,9.409,12.217,12.864,15.381,17.061,18.289,17.535
Bali,freshwater pond,tons,680,654,786,875,1.107,2.626,6.602,6.179,7.99,9.297,6.481
Nusa Tenggara Barat,freshwater pond,tons,2.244,4.822,2.583,2.612,3.024,3.927,33.016,14.927,17.761,21.812,21.004
Nusa Tenggara Timur,freshwater pond,tons,267,1.804,584,853,775,809,966,1.298,1.493,1.853,1.789
Kalimantan Barat,freshwater pond,tons,1.532,2.427,2.302,2.461,6.106,4.509,7.215,8.013,13.931,19.366,17.876
Kalimantan Tengah,freshwater pond,tons,863,857,979,2.2,5.161,8.706,12.505,18.184,21.448,22.784,29.202
Kalimantan Selatan,freshwater pond,tons,3.282,4.923,5.976,8.144,19.746,31.329,27.045,35.249,37.156,41.668,54.18
Kalimantan Timur,freshwater pond,tons,567,986,5.079,2.12,1.808,2.06,2.214,2.72,3.087,3.68,2.641
Kalimantan Utara,freshwater pond,tons,,,,,,,,,,,559
Sulawesi Utara,freshwater pond,tons,4.294,4.194,5.995,7.158,7.953,6.976,33.039,34.678,81.762,72.641,68.598
Sulawesi Tengah,freshwater pond,tons,1.58,1.629,1.663,1.617,3.537,4.294,4.394,6.793,6.546,6.46,8.04
Sulawesi Selatan,freshwater pond,tons,2.904,1.737,2.168,2.315,3.662,4.886,6.273,6.987,8.222,8.78,9.308
Sulawesi Tenggara,freshwater pond,tons,4.392,911,926,486,848,3.73,4.169,6.08,6.176,4.967,2.855
Gorontalo,freshwater pond,tons,113,380,470,400,520,652,1.025,4.477,5.531,9.492,4.166
Sulawesi Barat,freshwater pond,tons,-,559,30,26,158,426,608,538,867,1.355,1.882
Maluku,freshwater pond,tons,122,90,135,134,142,34,52,103,1.683,163,183
Maluku Utara,freshwater pond,tons,168,174,200,223,429,1.351,1.93,1.215,323,569,322
Papua Barat,freshwater pond,tons,4,3.211,169,914,1.192,796,2.335,5.184,1.717,1.777,1.784
Papua,freshwater pond,tons,1.236,1.114,1.115,1.002,1.159,1.263,2.798,2.319,6.784,8.552,7.834
Indonesia,freshwater pond,tons,331.966,381.945,410.373,479.167,554.067,819.809,1.127.127,1.433.820,1.774.407,1.963.509,2.043.161
Aceh,cage,tons,342,27,4,128,65,143,298,223,20,-,–
Sumatera Utara,cage,tons,234,258,323,600,6.731,2.251,252,1.208,503,358,1.628
Sumatera Barat,cage,tons,9.558,3.448,4.294,3.044,3.2,3.267,2.371,3.979,5.602,6.034,5.898
Riau,cage,tons,987,2.741,2.864,7.983,7.988,12.468,4.367,4.438,5.324,5.557,5.38
Kepulauan Riau,cage,tons,3.627,92,371,141,721,386,356,85.825,86.896,213,84
Jambi,cage,tons,17.401,20.393,18.325,21.246,24.029,27.053,42.911,48,135,92.519,65.032
Sumatera Selatan,cage,tons,39,228,60,96,68,67,197,-,-,1.177,1.657
Kepulauan Bangka Belitung,cage,tons,406,462,927,802,545,696,508,-,-,636,476
Bengkulu,cage,tons,-,3,-,1,1,-,-,559,634,-,–
Lampung,cage,tons,-,-,-,-,-,-,-,989,380,-,–
DKI Jakarta,cage,tons,-,-,-,-,-,-,-,-,-,-,–
Jawa Barat,cage,tons,514,970,1.068,923,225,346,491,365,286,227,233
Jawa Tengah,cage,tons,375,481,495,617,1.445,2.557,2.697,1.108,984,1.73,1.154
DI Yogyakarta,cage,tons,112,56,47,62,65,91,85,75,39,40,40
Jawa Timur,cage,tons,2.798,1.31,1.106,666,134,264,676,428,345,591,1.487
Banten,cage,tons,28,42,60,56,18,38,95,55,57,57,57
Bali,cage,tons,-,46,49,-,-,158,-,-,-,-,–
Nusa Tenggara Barat,cage,tons,350,375,470,916,379,306,1.249,1.379,1.543,1.449,1.665
Nusa Tenggara Timur,cage,tons,-,-,-,-,-,-,-,-,-,-,–
Kalimantan Barat,cage,tons,3.027,2.965,229,3.95,4.303,7.39,1.721,6.253,14.463,16.034,21.913
Kalimantan Tengah,cage,tons,3.359,3.751,4.285,5.03,7.254,11.228,13.634,16.802,22.954,26.395,27.724
Kalimantan Selatan,cage,tons,4.293,3.713,3.728,4.737,11.785,12.019,20.258,20.977,26.915,34.806,28.92
Kalimantan Timur,cage,tons,18.627,12.239,23.216,24.067,31.869,35.905,35.103,32.288,32.156,32.784,29.746
Kalimantan Utara,cage,tons,,,,,,,,,,,–
Sulawesi Utara,cage,tons,1.302,1.266,263,190,534,3.825,3.112,299,343,345,300
Sulawesi Tengah,cage,tons,23,44,27,29,41,266,273,346,9,38,25
Sulawesi Selatan,cage,tons,2,-,-,-,104,123,194,217,364,282,352
Sulawesi Tenggara,cage,tons,-,9,458,-,-,-,-,-,-,-,–
Gorontalo,cage,tons,234,770,847,220,136,188,89,68,54,30,20
Sulawesi Barat,cage,tons,-,-,48,-,-,-,-,1,-,-,–
Maluku,cage,tons,-,-,9,-,-,-,-,-,-,-,–
Maluku Utara,cage,tons,-,-,8,-,-,-,213,-,-,-,–
Papua Barat,cage,tons,-,-,-,-,-,12,-,438,-,-,–
Papua,cage,tons,251,510,349,266,131,223,234,-,-,-,–
Indonesia,cage,tons,67.889,56.2,63.929,75.769,101.771,121.271,131.383,178.367,200.006,221.304,193.79
Aceh,floating cage net,tons,-,345,479,289,200,555,271,316,480,240,300
Sumatera Utara,floating cage net,tons,4.336,1.106,3.939,35.177,34.887,47.683,42.962,51.035,83.154,97.339,72.195
Sumatera Barat,floating cage net,tons,5.07,8.378,10.825,48.164,24.769,35.849,36.664,52.929,45.123,49.483,73.526
Riau,floating cage net,tons,163,-,-,40,98,87,16.875,26.02,23.401,25.152,25.315
Kepulauan Riau,floating cage net,tons,949,4.729,8.073,9.896,10.981,11.96,11.93,42.821,47.793,12.677,12.029
Jambi,floating cage net,tons,115,125,418,170,7.495,9.168,12.683,467,1.453,8.229,11.567
Sumatera Selatan,floating cage net,tons,8,-,11,27,79,230,296,1,-,3.202,2.509
Kepulauan Bangka Belitung,floating cage net,tons,1.08,1.249,1.04,1.27,1.482,2.145,2.747,-,-,3.698,3.385
Bengkulu,floating cage net,tons,7,28,20,18,32,41,3,3.594,3.319,1,1
Lampung,floating cage net,tons,-,-,-,-,-,-,-,10.87,15.371,-,–
DKI Jakarta,floating cage net,tons,-,-,-,-,-,-,-,-,-,-,–
Jawa Barat,floating cage net,tons,80.824,115.976,143.244,144.56,135.02,157.195,185.428,195.312,179.018,185.005,198.984
Jawa Tengah,floating cage net,tons,6.737,6.965,7.169,9.864,11.067,15.99,21.823,29.346,28.701,41.833,44.749
DI Yogyakarta,floating cage net,tons,192,147,18,17,10,13,22,14,16,1,0
Jawa Timur,floating cage net,tons,-,1.323,1.372,1.91,2.155,2.557,9.281,11.7,12.726,11.694,11.361
Banten,floating cage net,tons,99,147,211,144,655,862,1.989,2.452,1.118,977,1.113
Bali,floating cage net,tons,115,145,165,396,519,1.811,3.533,2.89,4.098,4.359,4.687
Nusa Tenggara Barat,floating cage net,tons,-,-,31,-,-,6.781,797,149,1.537,2.29,846
Nusa Tenggara Timur,floating cage net,tons,-,-,-,-,-,-,-,-,-,-,–
Kalimantan Barat,floating cage net,tons,30,-,3.521,173,273,2.213,10.928,2.866,3.227,2.943,3.933
Kalimantan Tengah,floating cage net,tons,-,-,32,49,165,294,258,965,863,585,346
Kalimantan Selatan,floating cage net,tons,212,424,503,596,959,2.945,6.94,8.496,5.991,8.681,7.835
Kalimantan Timur,floating cage net,tons,-,-,49,9,4,-,-,-,61,3,1
Kalimantan Utara,floating cage net,tons,,,,,,,,,,,–
Sulawesi Utara,floating cage net,tons,7.965,1.489,8.502,9.31,6.496,7.499,2.943,4.324,39.902,36.708,54.661
Sulawesi Tengah,floating cage net,tons,923,-,-,-,-,-,-,-,630,91,58
Sulawesi Selatan,floating cage net,tons,-,-,-,40,-,-,-,-,375,-,-
Sulawesi Tenggara,floating cage net,tons,-,-,-,-,-,-,-,-,-,-,-
Gorontalo,floating cage net,tons,583,664,1.021,871,1.097,3.273,6.577,8.189,5.928,4.916,4.716
Sulawesi Barat,floating cage net,tons,,-,-,-,-,4,4,-,-,-,–
Maluku,floating cage net,tons,-,-,-,-,-,-,-,-,-,-,–
Maluku Utara,floating cage net,tons,13,12,252,181,163,334,478,254,378,37,29
Papua Barat,floating cage net,tons,-,-,-,-,-,11,-,-,3,-,7
Papua,floating cage net,tons,-,-,-,-,-,-,-,-,583,731,1.518
Indonesia,floating cage net,tons,109.421,143.251,190.893,263.169,238.606,309.499,375.43,455.012,505.248,500.873,535.673
Aceh,paddy field,tons,3.023,3.263,2.428,1.829,2.058,792,1.089,591,934,1.15,1.988
Sumatera Utara,paddy field,tons,6.302,5.213,9.623,9.083,7.95,4.987,4.816,8.249,10.204,9.152,8.744
Sumatera Barat,paddy field,tons,3.213,1.249,6.243,7.894,9.269,5.823,6.494,7.367,7.8,7.948,8.688
Riau,paddy field,tons,-,-,-,-,-,-,-,-,-,3,3
Kepulauan Riau,paddy field,tons,8,8,8,8,19,6,19,6.098,9.655,21,15
Jambi,paddy field,tons,7.925,8.598,8.873,9.425,10.66,15.491,24.681,8.646,6.315,12.56,12.13
Sumatera Selatan,paddy field,tons,1.602,2.872,2.357,2.86,2.3,3.614,8.266,-,-,5.501,5.254
Kepulauan Bangka Belitung,paddy field,tons,448,464,611,430,744,160,159,-,-,48,48
Bengkulu,paddy field,tons,-,-,-,-,-,-,-,56,50,-,–
Lampung,paddy field,tons,-,-,-,-,-,-,-,102,28,-,–
DKI Jakarta,paddy field,tons,-,-,-,-,-,-,-,-,-,-,–
Jawa Barat,paddy field,tons,34.519,27.529,26.223,23.309,31.784,32.66,25.556,22.646,27.065,30.532,34.179
Jawa Tengah,paddy field,tons,2.439,3.992,2.051,2.279,1.472,1.798,2.255,2.064,3.817,4.054,4.936
DI Yogyakarta,paddy field,tons,389,186,157,134,134,438,142,156,147,153,220
Jawa Timur,paddy field,tons,51.278,41.822,17.248,45.814,11.879,17.232,341,7.153,7.968,46.011,48.236
Banten,paddy field,tons,5.21,5.15,4.36,4.02,3.725,2.327,739,491,753,571,499
Bali,paddy field,tons,358,356,291,276,254,368,338,370,280,325,245
Nusa Tenggara Barat,paddy field,tons,97,965,89,142,139,127,242,703,936,617,874
Nusa Tenggara Timur,paddy field,tons,-,88,40,29,30,40,36,49,44,94,894
Kalimantan Barat,paddy field,tons,-,-,-,-,-,2,-,-,-,-,–
Kalimantan Tengah,paddy field,tons,129,665,-,-,-,175,2,4,3,-,–
Kalimantan Selatan,paddy field,tons,117,113,265,263,443,288,256,189,331,730,665
Kalimantan Timur,paddy field,tons,-,-,-,-,-,27,21,18,22,434,8
Kalimantan Utara,paddy field,tons,,,,,,,,,,,–
Sulawesi Utara,paddy field,tons,1.159,1.426,1.485,1.623,2.701,7.834,8.484,12.956,16.353,17.304,13.056
Sulawesi Tengah,paddy field,tons,102,-,-,-,2,10,19,22,25,17,17
Sulawesi Selatan,paddy field,tons,2.024,1.686,2.276,1.801,1.144,2.126,2.255,2.627,3.114,5.285,5.35
Sulawesi Tenggara,paddy field,tons,9,-,-,-,-,-,-,-,-,-,–
Gorontalo,paddy field,tons,2,28,32,9,5,11,11,3,7,17,4
Sulawesi Barat,paddy field,tons,-,-,351,334,201,142,221,1.257,1.453,1.737,1.579
Maluku,paddy field,tons,-,-,-,-,-,-,-,-,-,-,–
Maluku Utara,paddy field,tons,-,-,-,-,-,-,-,-,-,-,–
Papua Barat,paddy field,tons,-,-,-,21,-,128,5,-,-,-,–
Papua,paddy field,tons,-,-,-,-,-,-,-,-,-,-,–
Indonesia,paddy field,tons,120.353,105.671,85.009,111.584,86.913,96.605,86.448,81.818,97.303,144.263,147.631
