province,type,metric,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Sulawesi Tengah,brackish pond,area_hectares,106.593,87.455,93.959,103.097,101.952,105.859,107.312,19.628,107.557,109.832,109.561
Sulawesi Selatan,brackish pond,area_hectares,25.135,12.712,12.26,15.424,15.589,22.226,20.551,106.842,20.285,19.783,23.795
Sulawesi Barat,brackish pond,area_hectares,2.093,1.576,302,1.484,3.572,3.511,4.535,8.283,4.975,7.645,7.801
Sulawesi Tenggara,brackish pond,area_hectares,-,13.6,9.459,8.151,12.626,11.765,11.79,4.575,12.368,13.739,15.061
Maluku,brackish pond,area_hectares,2.365,724,726,1.135,1.135,8.19,275,400,396,226,477
Maluku Utara,brackish pond,area_hectares,3.553,76,259,3.253,51,37,34,109,53,64,43
Papua,brackish pond,area_hectares,-,362,120,-,75,84,80,597,93,95,37.014
Papua Barat,brackish pond,area_hectares,598,2.84,885,494,776,606,589,98,601,764,761
Indonesia,brackish pond,area_hectares,512.524,486.982,452.901,613.175,682.725,682.857,749.22,657.346,650.509,667.083,715.846
Aceh,freshwater pond,area_hectares,2.588,2.626,3.069,3.391,3.587,3.706,3.49,2.378,3.5,3.501,3.133
Sumatera Utara,freshwater pond,area_hectares,6.417,1,5.25,5.94,4.519,8.497,6.419,6.553,6.775,7.77,8.425
Sumatera Barat,freshwater pond,area_hectares,6.277,5.74,7.786,63.73,10.428,10.464,10.52,12.226,12.612,12.9,13.899
Riau,freshwater pond,area_hectares,1.866,2.218,2.404,3.497,18.559,5.222,5.373,2.584,2.828,2.952,2.97
Kepulauan Riau,freshwater pond,area_hectares,1.454,901,1.01,1.035,1.384,1.542,1.706,17.208,2.341,1.851,2.314
Jambi,freshwater pond,area_hectares,8.421,7.856,10.19,10.055,10.578,12.933,13.964,2.637,16.891,16.89,25.794
Sumatera Selatan,freshwater pond,area_hectares,3.019,1.246,1.104,212,3.196,4.017,5.373,120,3.044,3.286,6.325
Kepulauan Bangka Belitung,freshwater pond,area_hectares,6.247,5.683,6.01,10.028,7.691,8.682,13.59,4.428,13.366,13.751,16.438
