province,aquaculture_type,units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Sulawesi Tengah,paddy field,ton,5,5,19,-,3,102,-,-,-,2,10,19,22,25,17,17
Sulawesi Selatan,paddy field,ton,4.642,3.626,2.468,3.924,4.119,2.024,1.686,2.276,1.801,1.144,2.126,2.255,2.627,3.114,5.285,5.350
Sulawesi Tenggara,paddy field,ton,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,–
Gorontalo,paddy field,ton,0,49,1,1,-,2,28,32,9,5,11,11,3,7,17,4
Sulawesi Barat,paddy field,ton,-,-,-,-,-,-,-,351,334,201,142,221,1.257,1.453,1.737,1.579
Maluku,paddy field,ton,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,–
Maluku Utara,paddy field,ton,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,–
Papua Barat,paddy field,ton,-,-,-,-,-,-,-,-,21,-,128,5,-,-,-,–
Papua,paddy field,ton,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,–
Indonesia,paddy field,ton,93.063,98.190,86.627,93.779,85.831,120.353,105.671,85.009,111.584,86.913,96.605,86.448,81.818,97.303,144.263,147.631
Aceh,total,ton,113.096,120.831,120.708,168.917,35.525,24.434,32.265,35.667,42.824,38.048,46.811,34.451,41.557,47.209,58.824,64.082
Sumatera Utara,total,ton,378.233,383.471,396.812,392.914,41.640,44.393,39.940,53.410,97.583,97.147,119.106,125.607,144.247,193.757,204.756,180.635
Sumatera Barat,total,ton,123.160,128.409,113.527,132.289,37.414,32.146,39.870,55.607,97.544,84.260,102.617,131.554,181.360,206.870,262.863,286.712
Riau,total,ton,306.628,329.116,342.277,352.098,35.622,26.686,27.459,28.861,29.950,38.897,44385r,61.337,68.794,74.343,86.053,87.297
Kepulauan Riau,total,ton,50.821,55.105,55.605,63.208,10.205,11.419,12.276,17.638,21.202,25.620,31.905,34.369,37.268,74.842,50.610,47.102
Jambi,total,ton,222.948,118.502,127.695,161.568,24.735,81.725,100.435,111.869,130.477,184.796,217.397,291.375,404.923,435.001,487.199,496.943
Sumatera Selatan,total,ton,33.599,35.064,33.814,39.137,7.152,7.514,7.782,9.427,13.342,14.182,18.628,33.806,44.916,45.985,62.661,74.879
Kepulauan Bangka Belitung,total,ton,188.558,191.432,192.912,214.021,89.284,139.743,175.845,189.980,186.158,106.990,98072r,119.228,120.744,152.539,152.310,116.774
Bengkulu,total,ton,-,128.080,136.762,144.536,791,719,966,903,1.502,2.077,2.490,6.474,8.108,2.160,4.199,4.305
Lampung,total,ton,-,-,-,-,-,5.034,1.408,5.394,4.998,5.026,16.818,7.257,25.281,29.383,27.366,33.516
DKI Jakarta,total,ton,106.092,108.737,108.269,123.294,3.778,8.882,4.921,5.779,6.401,2.909,50.366,34.142,8.054,6.764,9.990,9.387
Jawa Barat,total,ton,404.849,366.238,368.422,342.652,268.954,301.266,355.716,391.568,435.549,442.012,622.961,695.104,778.999,970.568,1.006.017,1.075.260
Jawa Tengah,total,ton,346.834,376.322,381.930,348.229,77.394,113.276,96.484,114.007,132.593,144.650,175995r,242.865,261.736,397.106,501.809,421.022
DI Yogyakarta,total,ton,6.939,6.532,7.847,10.502,6.220,9.131,9.672,11.949,14.741,17.682,39.582,44.542,50.260,58.025,64.964,69.174
Jawa Timur,total,ton,435.937,446.667,554.084,576.945,153.865,212.125,164.136,173.315,238.754,507.790,634.279,715.865,927.974,995.962,1.043.886,1.093.121
Banten,total,ton,0,128.541,84.768,78.910,22.370,27.308,28.681,34.332,38.776,35.503,86.777,91.741,87.134,99.428,105.635,105.426
Bali,total,ton,58.865,62.603,84.400,99.749,160.685,165.015,168.764,156.494,136.287,141.384,107.495,119.371,155.950,161.565,102.466,122.622
Nusa Tenggara Barat,total,ton,98.524,100.393,94.604,99.038,51.125,50.338,79.547,101.942,126.087,182.838,214.972,381.410,547.059,719.358,887.395,1.066.922
Nusa Tenggara Timur,total,ton,82.763,85.361,86.834,92.072,67.536,272.374,483.729,505.827,697.605,499.698,349.704,379.399,401.582,1.849.473,1.970.112,2.289.605
Kalimantan Barat,total,ton,77.313,80.446,80.932,79.431,4.785,15.500,7.693,9.268,14.891,15.205,27.200,29.972,37.084,79.522,87.936,65.266
Kalimantan Tengah,total,ton,91.339,93.707,95.278,78.751,4.576,6.159,6.517,6.417,8.624,14.988,24733r,31.772,42.579,54.600,60.849,69.330
Kalimantan Selatan,total,ton,162.107,164.617,169.354,174.628,13.791,13.725,15.009,22.564,25.322,46.043,63460r,76.903,91.029,96.646,118.256,127.152
Kalimantan Timur,total,ton,121.101,134.227,134.149,136.856,42.662,46.253,36.796,78.527,65.397,72.611,147.504,171.718,291.112,339.279,410.600,93.315
Kalimantan Utara,total,ton,,,,,,,,,,,,,,,,316.963
Sulawesi Utara,total,ton,197.534,192.889,206.852,193.669,19.881,22.642,15.119,20.907,23.364,26.127,75288r,151.549,212.160,322.863,429.543,478.702
Sulawesi Tengah,total,ton,101.087,88.125,66.777,89.829,22.226,136.487,182.129,202.750,299.642,728.161,744.280,781.378,929.215,1.324.445,1.218.406,1.396.701
Sulawesi Selatan,total,ton,453.580,450.589,468.917,476.882,153.894,339.424,514.892,717.848,738.640,865.899,1.357.368,1.633.274,2.235.007,2.592.136,3.103.434,3.479.420
Sulawesi Tenggara,total,ton,157.284,175.056,188.139,203.021,98.481,34.239,38.312,93.205,150.046,217.800,404.123,647.836,712.597,1.010.927,1.037.416,994.056
Gorontalo,total,ton,0,24.546,34.161,34.754,7.469,8.139,8.422,10.234,16.879,52.331,72281r,100.103,111.934,126.446,57.404,60.230
Sulawesi Barat,total,ton,-,-,-,-,-,-,15.481,5.489,12.133,25.342,29.801,40.315,48.514,55.074,67.549,89.730
Maluku,total,ton,361.433,217.850,171.798,373.882,3.416,869,3.592,17.836,37.380,53.110,275.754,612.505,477.484,592.053,501.582,725.278
Maluku Utara,total,ton,0,83.808,105.228,77.871,680,1.375,908,1.546,1.908,2.950,51.690,67.799,122.900,99.265,103.975,42.034
Papua Barat,total,ton,-,-,-,-,38,3.471,5.835,968,6.327,14.113,21.749,29.784,6.908,77.395,62.525,40.079
Papua,total,ton,208.147,214.370,220.762,249.465,2.416,1.867,1.996,2.039,2.275,2.375,2.338,4.157,61.086,9.136,10.543,11.055
Indonesia,total,ton,4.888.771,5.091.634,5.233.617,5.609.118,1.468.610,2.163.678,2.682.596,3.193.565,3.855.200,4.708.565,6277923r,7.928.962,9.675.553,13.300.126,14.359.129,15.634.093
