province,aquaculture_type,units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Jawa Timur,brackish pond,ton,90.025,94.968,142.210,144.669,95.403,122.467,75.954,104.865,78.922,111.445,158.927,177.682,170.434,177.077,191.610,206.362
Banten,brackish pond,ton,0,14.749,18.981,25.589,9.425,10.877,11.744,15.262,16.190,15.874,56.309,59.345,51.535,58.511,60.070,60.112
Bali,brackish pond,ton,1.213,1.676,2.094,3.926,3.541,2.741,2.795,2.897,5.566,3.505,2.649,2.232,1.899,3.005,3.554,3.288
Nusa Tenggara Barat,brackish pond,ton,7.888,7.729,13.105,15.112,10.050,11.222,12.695,23.114,35.796,31.692,40.544,67.999,78.418,97.839,111.554,120.993
Nusa Tenggara Timur,brackish pond,ton,615,621,960,4.208,833,227,714,495,443,464,1.027,1.195,1.497,1.586,1.902,3.575
Kalimantan Barat,brackish pond,ton,1.970,812,2.923,3.899,2.579,1.864,2.090,3.130,8.200,4.440,12.889,10.089,19.805,47.723,46.730,20.158
Kalimantan Tengah,brackish pond,ton,33,350,2.831,4.215,1.836,1.808,1.244,1.085,1.314,2.377,4.031,5.224,6.394,9.244,10.745,11.693
Kalimantan Selatan,brackish pond,ton,2.350,2.773,7.429,8.967,4.730,5.316,3.415,6.027,7.820,11.277,15.378,20.101,23.392,23.826,27.177,33.954
Kalimantan Timur,brackish pond,ton,11.694,15.787,23.231,20.929,25.744,26.978,21.828,31.720,33.196,31.333,53.517,51.164,60.557,54.208,52.572,38.792
Kalimantan Utara,brackish pond,ton,,,,,,,,,,,,,,,,5.366
Sulawesi Utara,brackish pond,ton,176,125,9.526,10.181,183,183,114,161,256,96,606,428,261,10.451,668,703
Sulawesi Tengah,brackish pond,ton,4.515,4.515,911,24.142,6.320,9.347,10.181,18.987,11.702,13.591,23.214,42.057,30.627,83.215,73.733,113.202
Sulawesi Selatan,brackish pond,ton,111.563,111.569,109.617,100.071,126.281,133.088,104.996,297.677,272.891,233.607,534.456,600.241,744.385,918.645,1.001.214,1.052.493
Sulawesi Tenggara,brackish pond,ton,8.585,10.174,16.395,13.079,13.479,17.479,11.316,9.500,24.703,30.337,46.962,54.921,66.183,86.506,75.954,74.888
Gorontalo,brackish pond,ton,0,783,1.180,716,1.478,1.553,459,746,1.804,2.290,4.081,3.212,3.716,10.879,11.344,9.552
Sulawesi Barat,brackish pond,ton,-,-,-,-,-,-,13.723,4.483,10.479,15.042,16.018,17.928,19.375,19.627,25.133,32.530
Maluku,brackish pond,ton,204,204,262,105,475,482,150,160,180,629,527,1.741,1.205,4.264,5.415,12.485
Maluku Utara,brackish pond,ton,0,18,13.886,39,7,360,8,6,23,69,127,85,296,253,156,92
Papua Barat,brackish pond,ton,-,-,-,-,-,-,2.624,38,99,56,189,1.164,1.154,110,2.988,441
Papua,brackish pond,ton,426,430,2.786,2.780,450,380,297,536,782,937,628,950,1.212,1.624,1.209,1.548
Indonesia,brackish pond,ton,430.017,454.710,855.122,917.322,559.612,643.975,629.610,933.832,959.509,907.123,1.416.038,1.602.748,1.756.799,2.344.671,2.428.389,2.498.966
Aceh,freshwater pond,ton,2.000,2.001,2.764,7.434,9.138,8.733,9.016,6.305,9.642,9.839,14.238,9.224,12.391,12.752,18.931,18.614
Sumatera Utara,freshwater pond,ton,1.588,1.139,10.718,11.903,14.240,14.243,15.674,16.742,18.541,12.228,29.512,41.181,46.829,60.042,64.213,64.205
Sumatera Barat,freshwater pond,ton,8.025,8.598,17.141,15.733,20.288,14.174,26.750,34.207,38.404,46.952,57.653,85.934,116.226,147.832,198.514,197.054
Riau,freshwater pond,ton,14.376,13.309,15.974,19.073,19.895,24.769,24.414,25.485,21.084,29.846,29.447,37.973,37.672,45.284,54.561,55.709
Kepulauan Riau,freshwater pond,ton,-,-,2.263,3.191,4.907,5.531,5.872,7.934,9.335,11.838,17.456,20.212,222.900,238.456,36.913,34.411
Jambi,freshwater pond,ton,1.632,2.065,11.368,18.092,3.111,34.768,43.932,51.059,60.308,68.207,100.160,140.731,34.584,36.221,268.752,316.933
Sumatera Selatan,freshwater pond,ton,0,104,1.767,4.023,4.055,4.427,3.893,6.214,8.851,10.713,13.820,23.673,1.982,1.399,46.012,55.635
Kepulauan Bangka Belitung,freshwater pond,ton,2.883,2.883,8.934,13.239,13.996,13.417,13.966,19.318,23.919,21.987,32.378,50.453,11.205,13.366,70.089,55.350
Bengkulu,freshwater pond,ton,12.188,7.903,115,512,359,536,751,693,1.033,841,1.200,1.352,56.076,58.573,2.275,1.028
