province,aquaculture_type,units,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Sulawesi Tengah,paddy field,hectares,7.018,4.534,6.893,7.485,7.118,10.723,11.080,-,15.071,12.433,12.962
Sulawesi Selatan,paddy field,hectares,1.670,-,-,-,-,-,-,10.300,-,-,-
Sulawesi Barat,paddy field,hectares,7,14,14,4,9,4,16,7.712,21,5,5
Sulawesi Tenggara,paddy field,hectares,-,-,2.331,3.639,3.679,3.639,7.692,16,7.712,7.712,7.712
Maluku,paddy field,hectares,-,-,-,-,-,-,-,-,-,-,-
Maluku Utara,paddy field,hectares,-,-,-,-,-,-,-,-,-,-,-
Papua,paddy field,hectares,-,-,-,-,-,26,14,-,-,-,-
Papua Barat,paddy field,hectares,-,-,-,-,-,-,-,-,-,-,-
Indonesia,paddy field,hectares,125.884,119.057,118.322,127.944,127.679,165.688,151.630,156.193,124.057,142.122,128.447
Aceh,total,hectares,46.240,41.832,44.156,46.927,56.457,57.840,55.076,55.249,55.568,55.648,52.111
Sumatera Utara,total,hectares,28.917,21.906,26.804,14.649,25.204,22.816,20.546,20.964,19.560,20.568,22.497
Sumatera Barat,total,hectares,7.801,7.269,9.444,78.719,26.134,12.782,13.095,15.369,15.841,16.131,17.396
Riau,total,hectares,3.839,3.641,4.375,6.433,19.376,6.877,6.367,3.112,3.274,3.478,3.607
Kepulauan Riau,total,hectares,2.966,2.225,2.227,2.265,2.920,3.067,3.234,64.669,2.824,2.194,2.737
Jambi,total,hectares,32.784,36.287,45.398,46.393,67.242,63.719,61.444,7.712,64.370,65.128,66.528
Sumatera Selatan,total,hectares,12.270,6.791,6.831,7.569,4.958,5.431,9.676,514,8.707,8.955,11.517
Kepulauan Bangka Belitung,total,hectares,59.162,28.143,29.246,48.828,44.575,46.683,54.699,6.920,52.757,53.176,55.825
Bengkulu,total,hectares,344,144,163,253,401,387,580,38.335,341,281,203
Lampung,total,hectares,46,173,1.219,38.717,98.208,2.344,5.378,2.986,8.591,9.072,9.327
DKI Jakarta,total,hectares,325,334,479,507,525,648,641,533,413,405,680
Jawa Barat,total,hectares,122.017,99.005,105.074,114.903,140.161,168.552,129.331,129.170,130.111,129.310,113.467
Banten,total,hectares,46.511,37.499,53.291,118.314,45.431,48.151,48.255,975,40.007,55.050,56.654
Jawa Tengah,total,hectares,1.605,4.445,1.604,1.913,1.819,867,1.042,104.211,1.139,5.857,1.359
DI Yogyakarta,total,hectares,97.471,84.192,87.023,97.249,94.049,111.146,106.002,16.282,230.197,224.046,224.839
Jawa Timur,total,hectares,19.883,15.264,17.828,31.771,18.710,15.702,11.162,51.783,16.725,15.961,16.012
Bali,total,hectares,1.878,1.926,1.837,1.751,1.743,2.364,2.668,2.264,2.762,2.084,1.986
Nusa Tenggara Barat,total,hectares,13.642,15.542,18.400,14.155,19.911,23.207,27.982,31.079,26.982,28.594,24.673
Nusa Tenggara Timur,total,hectares,3.091,10.741,14.251,9.327,6.531,7.595,7.913,8.516,11.322,12.527,12.773
Kalimantan Barat,total,hectares,15.202,6.179,8.689,12.837,39.777,24.122,24.167,24.981,26.989,26.006,17.706
Kalimantan Tengah,total,hectares,2.340,24.216,1.097,6.778,1.952,4.805,6.027,6.727,6.633,7.556,8.236
