province,aquaculture_type,year,hectares,ton,tons_per_ha
Aceh,brackish pond,2e3,NA,17620,NA
Aceh,brackish pond,2001,NA,13448,NA
Aceh,brackish pond,2002,NA,27449,NA
Aceh,brackish pond,2003,NA,33877,NA
Aceh,brackish pond,2004,NA,21376,NA
Aceh,brackish pond,2005,40292,12336,0.30616499553261195
Aceh,brackish pond,2006,36724,19596,0.5336020041389827
Aceh,brackish pond,2007,34078,26451,0.7761899172486648
Aceh,brackish pond,2008,40921,30936,0.7559932552967914
Aceh,brackish pond,2009,50254,25851,0.514406813387989
Aceh,brackish pond,2010,51519,31041,0.6025155767774996
Aceh,brackish pond,2011,49271,23405,0.47502587729090134
Aceh,brackish pond,2012,51696,27994,0.541511915815537
Aceh,brackish pond,2013,50527,32940,0.6519286717992361
Aceh,brackish pond,2014,50541,37721,0.7463445519479235
Aceh,brackish pond,2015,45999,42223,0.9179112589404117
Aceh,cage,2e3,NA,46,NA
Aceh,cage,2001,NA,3,NA
Aceh,cage,2002,NA,180,NA
Aceh,cage,2003,NA,1665,NA
Aceh,cage,2004,NA,1761,NA
Aceh,cage,2005,1,342,342
Aceh,cage,2006,1,27,27
Aceh,cage,2007,2,4,2
Aceh,cage,2008,1,128,128
Aceh,cage,2009,1,65,65
Aceh,cage,2010,0,143,Inf
Aceh,cage,2011,0,298,Inf
Aceh,cage,2012,2,223,111.5
Aceh,cage,2013,0,20,Inf
Aceh,cage,2014,NA,NA,NA
Aceh,cage,2015,NA,NA,NA
Aceh,floating cage,2e3,NA,NA,NA
Aceh,floating cage,2001,NA,NA,NA
Aceh,floating cage,2002,NA,NA,NA
Aceh,floating cage,2003,NA,NA,NA
Aceh,floating cage,2004,NA,NA,NA
Aceh,floating cage,2005,NA,NA,NA
Aceh,floating cage,2006,2,345,172.5
Aceh,floating cage,2007,7,479,68.42857142857143
Aceh,floating cage,2008,7,289,41.285714285714285
Aceh,floating cage,2009,7,200,28.571428571428573
Aceh,floating cage,2010,6,555,92.5
Aceh,floating cage,2011,4,271,67.75
Aceh,floating cage,2012,1,316,316
Aceh,floating cage,2013,5,480,96
Aceh,floating cage,2014,1,240,240
Aceh,floating cage,2015,1,300,300
Aceh,freshwater pond,2e3,NA,2e3,NA
Aceh,freshwater pond,2001,NA,2001,NA
Aceh,freshwater pond,2002,NA,2764,NA
Aceh,freshwater pond,2003,NA,7434,NA
Aceh,freshwater pond,2004,NA,9138,NA
Aceh,freshwater pond,2005,2588,8733,3.374420401854714
Aceh,freshwater pond,2006,2626,9016,3.4333587204874334
Aceh,freshwater pond,2007,3069,6305,2.054415118931248
Aceh,freshwater pond,2008,3391,9642,2.843409023886759
Aceh,freshwater pond,2009,3587,9839,2.742960691385559
Aceh,freshwater pond,2010,3706,14238,3.841878035617917
Aceh,freshwater pond,2011,3490,9224,2.6429799426934095
Aceh,freshwater pond,2012,2378,12391,5.210681244743482
Aceh,freshwater pond,2013,3500,12752,3.6434285714285712
Aceh,freshwater pond,2014,3501,18931,5.4073121965152815
Aceh,freshwater pond,2015,3133,18614,5.941270347909352
Aceh,marine culture,2e3,NA,NA,NA
Aceh,marine culture,2001,NA,NA,NA
Aceh,marine culture,2002,NA,NA,NA
Aceh,marine culture,2003,NA,NA,NA
Aceh,marine culture,2004,NA,NA,NA
Aceh,marine culture,2005,NA,NA,NA
Aceh,marine culture,2006,1,17,17
Aceh,marine culture,2007,NA,NA,NA
Aceh,marine culture,2008,NA,NA,NA
Aceh,marine culture,2009,1,36,36
Aceh,marine culture,2010,1,42,42
Aceh,marine culture,2011,1,164,164
Aceh,marine culture,2012,2,43,21.5
Aceh,marine culture,2013,1,84,84
Aceh,marine culture,2014,3,109,36.333333333333336
Aceh,marine culture,2015,4,158,39.5
Aceh,nets step,2e3,NA,NA,NA
Aceh,nets step,2001,NA,NA,NA
Aceh,nets step,2002,NA,NA,NA
Aceh,nets step,2003,NA,NA,NA
Aceh,nets step,2004,NA,NA,NA
Aceh,nets step,2005,NA,NA,NA
Aceh,nets step,2006,NA,NA,NA
Aceh,nets step,2007,NA,NA,NA
Aceh,nets step,2008,NA,NA,NA
Aceh,nets step,2009,NA,NA,NA
Aceh,nets step,2010,NA,NA,NA
Aceh,nets step,2011,NA,NA,NA
Aceh,nets step,2012,NA,NA,NA
Aceh,nets step,2013,NA,NA,NA
Aceh,nets step,2014,3,673,224.33333333333334
Aceh,nets step,2015,3,800,266.6666666666667
Aceh,paddy field,2e3,NA,2599,NA
Aceh,paddy field,2001,NA,2488,NA
Aceh,paddy field,2002,NA,2213,NA
Aceh,paddy field,2003,NA,2574,NA
Aceh,paddy field,2004,NA,3250,NA
Aceh,paddy field,2005,3359,3023,0.8999702292348913
Aceh,paddy field,2006,2478,3263,1.3167877320419694
Aceh,paddy field,2007,7e3,2428,0.34685714285714286
Aceh,paddy field,2008,2607,1829,0.7015726889144611
Aceh,paddy field,2009,2607,2058,0.7894131185270425
Aceh,paddy field,2010,2607,792,0.3037974683544304
Aceh,paddy field,2011,2309,1089,0.4716327414465136
Aceh,paddy field,2012,1171,591,0.5046968403074296
Aceh,paddy field,2013,1535,934,0.6084690553745928
Aceh,paddy field,2014,1600,1150,0.71875
Aceh,paddy field,2015,2972,1988,0.6689098250336474
Aceh,total,2e3,NA,113096,NA
Aceh,total,2001,NA,120831,NA
Aceh,total,2002,NA,120708,NA
Aceh,total,2003,NA,168917,NA
Aceh,total,2004,NA,35525,NA
Aceh,total,2005,46240,24434,0.528416955017301
Aceh,total,2006,41832,32265,0.7712994836488812
Aceh,total,2007,44156,35667,0.80774979617719
Aceh,total,2008,46927,42824,0.9125663264218893
Aceh,total,2009,56457,38048,0.6739288307915758
Aceh,total,2010,57840,46811,0.8093188105117566
Aceh,total,2011,55076,34451,0.6255174667731861
Aceh,total,2012,55249,41557,0.7521765099820811
Aceh,total,2013,55568,47209,0.8495716959401094
Aceh,total,2014,55648,58824,1.0570730304772857
Aceh,total,2015,52111,64082,1.2297211721133734
Bali,brackish pond,2e3,NA,1213,NA
Bali,brackish pond,2001,NA,1676,NA
Bali,brackish pond,2002,NA,2094,NA
Bali,brackish pond,2003,NA,3926,NA
Bali,brackish pond,2004,NA,3541,NA
Bali,brackish pond,2005,564,2741,4.859929078014185
Bali,brackish pond,2006,392,2795,7.130102040816326
Bali,brackish pond,2007,443,2897,6.539503386004514
Bali,brackish pond,2008,273,5566,20.388278388278387
Bali,brackish pond,2009,291,3505,12.0446735395189
Bali,brackish pond,2010,290,2649,9.13448275862069
Bali,brackish pond,2011,532,2232,4.195488721804511
Bali,brackish pond,2012,263,1899,7.220532319391635
Bali,brackish pond,2013,282,3005,10.656028368794326
Bali,brackish pond,2014,209,3554,17.004784688995215
Bali,brackish pond,2015,199,3288,16.522613065326635
Bali,cage,2e3,NA,0,NA
Bali,cage,2001,NA,35,NA
Bali,cage,2002,NA,NA,NA
Bali,cage,2003,NA,NA,NA
Bali,cage,2004,NA,48,NA
Bali,cage,2005,NA,NA,NA
Bali,cage,2006,1,46,46
Bali,cage,2007,2,49,24.5
Bali,cage,2008,NA,NA,NA
Bali,cage,2009,NA,NA,NA
Bali,cage,2010,NA,158,NA
Bali,cage,2011,NA,NA,NA
Bali,cage,2012,NA,NA,NA
Bali,cage,2013,NA,NA,NA
Bali,cage,2014,NA,NA,NA
Bali,cage,2015,NA,NA,NA
Bali,floating cage,2e3,NA,NA,NA
Bali,floating cage,2001,NA,NA,NA
Bali,floating cage,2002,NA,NA,NA
Bali,floating cage,2003,NA,NA,NA
Bali,floating cage,2004,NA,111,NA
Bali,floating cage,2005,63,115,1.8253968253968254
Bali,floating cage,2006,5,145,29
Bali,floating cage,2007,5,165,33
Bali,floating cage,2008,5,396,79.2
Bali,floating cage,2009,5,519,103.8
Bali,floating cage,2010,19,1811,95.3157894736842
Bali,floating cage,2011,24,3533,147.20833333333334
Bali,floating cage,2012,14,2890,206.42857142857142
Bali,floating cage,2013,10,4098,409.8
Bali,floating cage,2014,10,4359,435.9
Bali,floating cage,2015,10,4687,468.7
Bali,freshwater pond,2e3,NA,14564,NA
Bali,freshwater pond,2001,NA,18913,NA
Bali,freshwater pond,2002,NA,512,NA
Bali,freshwater pond,2003,NA,972,NA
Bali,freshwater pond,2004,NA,629,NA
Bali,freshwater pond,2005,526,680,1.2927756653992395
Bali,freshwater pond,2006,432,654,1.5138888888888888
Bali,freshwater pond,2007,498,786,1.5783132530120483
Bali,freshwater pond,2008,496,875,1.7641129032258065
Bali,freshwater pond,2009,470,1107,2.3553191489361702
Bali,freshwater pond,2010,937,2626,2.8025613660618998
Bali,freshwater pond,2011,796,6602,8.293969849246231
Bali,freshwater pond,2012,763,6179,8.09829619921363
Bali,freshwater pond,2013,1203,7990,6.641729010806317
Bali,freshwater pond,2014,1154,9297,8.05632582322357
Bali,freshwater pond,2015,997,6481,6.500501504513541
Bali,marine culture,2e3,NA,NA,NA
Bali,marine culture,2001,NA,NA,NA
Bali,marine culture,2002,NA,NA,NA
Bali,marine culture,2003,NA,NA,NA
Bali,marine culture,2004,NA,156054,NA
Bali,marine culture,2005,403,161121,399.80397022332505
Bali,marine culture,2006,788,164769,209.0977157360406
Bali,marine culture,2007,619,152306,246.05169628432955
Bali,marine culture,2008,730,129174,176.95068493150686
Bali,marine culture,2009,730,136e3,186.3013698630137
Bali,marine culture,2010,742,99883,134.61320754716982
Bali,marine culture,2011,780,106667,136.7525641025641
Bali,marine culture,2012,801,144610,180.53682896379524
Bali,marine culture,2013,997,146192,146.6318956870612
Bali,marine culture,2014,458,84931,185.43886462882097
Bali,marine culture,2015,533,107921,202.47842401500938
Bali,nets step,2e3,NA,NA,NA
Bali,nets step,2001,NA,NA,NA
Bali,nets step,2002,NA,NA,NA
Bali,nets step,2003,NA,NA,NA
Bali,nets step,2004,NA,NA,NA
Bali,nets step,2005,NA,NA,NA
Bali,nets step,2006,NA,NA,NA
Bali,nets step,2007,NA,NA,NA
Bali,nets step,2008,NA,NA,NA
Bali,nets step,2009,NA,NA,NA
Bali,nets step,2010,NA,NA,NA
Bali,nets step,2011,NA,NA,NA
Bali,nets step,2012,NA,NA,NA
Bali,nets step,2013,NA,NA,NA
Bali,nets step,2014,NA,NA,NA
Bali,nets step,2015,NA,NA,NA
Bali,paddy field,2e3,NA,387,NA
Bali,paddy field,2001,NA,391,NA
Bali,paddy field,2002,NA,419,NA
Bali,paddy field,2003,NA,356,NA
Bali,paddy field,2004,NA,302,NA
Bali,paddy field,2005,322,358,1.1118012422360248
Bali,paddy field,2006,308,356,1.155844155844156
Bali,paddy field,2007,271,291,1.0738007380073802
Bali,paddy field,2008,247,276,1.1174089068825912
Bali,paddy field,2009,247,254,1.0283400809716599
Bali,paddy field,2010,376,368,0.9787234042553191
Bali,paddy field,2011,537,338,0.6294227188081937
Bali,paddy field,2012,424,370,0.8726415094339622
Bali,paddy field,2013,270,280,1.037037037037037
Bali,paddy field,2014,254,325,1.279527559055118
Bali,paddy field,2015,247,245,0.9919028340080972
Bali,total,2e3,NA,58865,NA
Bali,total,2001,NA,62603,NA
Bali,total,2002,NA,84400,NA
Bali,total,2003,NA,99749,NA
Bali,total,2004,NA,160685,NA
Bali,total,2005,1878,165015,87.86741214057508
Bali,total,2006,1926,168764,87.62409138110073
Bali,total,2007,1837,156494,85.18998366902558
Bali,total,2008,1751,136287,77.83380925185608
Bali,total,2009,1743,141384,81.11531841652324
Bali,total,2010,2364,107495,45.47165820642978
Bali,total,2011,2668,119371,44.74175412293853
Bali,total,2012,2264,155950,68.88250883392226
Bali,total,2013,2762,161565,58.49565532223027
Bali,total,2014,2084,102466,49.1679462571977
Bali,total,2015,1986,122622,61.74320241691843
Banten,brackish pond,2e3,NA,0,NA
Banten,brackish pond,2001,NA,14749,NA
Banten,brackish pond,2002,NA,18981,NA
Banten,brackish pond,2003,NA,25589,NA
Banten,brackish pond,2004,NA,9425,NA
Banten,brackish pond,2005,38911,10877,0.2795353499010563
Banten,brackish pond,2006,26807,11744,0.4380945275487746
Banten,brackish pond,2007,32677,15262,0.46705633932123514
Banten,brackish pond,2008,43415,16190,0.3729125878152712
Banten,brackish pond,2009,39822,15874,0.39862387624930945
Banten,brackish pond,2010,38815,56309,1.450702048177251
Banten,brackish pond,2011,39025,59345,1.520691864189622
Banten,brackish pond,2012,23,51535,2240.6521739130435
Banten,brackish pond,2013,30227,58511,1.9357197207794357
Banten,brackish pond,2014,45025,60070,1.3341476957245975
Banten,brackish pond,2015,41117,60112,1.4619743658340831
Banten,cage,2e3,NA,0,NA
Banten,cage,2001,NA,0,NA
Banten,cage,2002,NA,18,NA
Banten,cage,2003,NA,21,NA
Banten,cage,2004,NA,34,NA
Banten,cage,2005,7,28,4
Banten,cage,2006,12,42,3.5
Banten,cage,2007,5,60,12
Banten,cage,2008,3,56,18.666666666666668
Banten,cage,2009,29,18,0.6206896551724138
Banten,cage,2010,75,38,0.5066666666666667
Banten,cage,2011,31,95,3.064516129032258
Banten,cage,2012,0,55,Inf
Banten,cage,2013,22,57,2.590909090909091
Banten,cage,2014,21,57,2.7142857142857144
Banten,cage,2015,40,57,1.425
Banten,floating cage,2e3,NA,NA,NA
Banten,floating cage,2001,NA,NA,NA
Banten,floating cage,2002,NA,NA,NA
Banten,floating cage,2003,NA,NA,NA
Banten,floating cage,2004,NA,120,NA
Banten,floating cage,2005,84,99,1.1785714285714286
Banten,floating cage,2006,8,147,18.375
Banten,floating cage,2007,3,211,70.33333333333333
Banten,floating cage,2008,4,144,36
Banten,floating cage,2009,64,655,10.234375
Banten,floating cage,2010,67,862,12.865671641791044
Banten,floating cage,2011,65,1989,30.6
Banten,floating cage,2012,0,2452,Inf
Banten,floating cage,2013,41,1118,27.26829268292683
Banten,floating cage,2014,2,977,488.5
Banten,floating cage,2015,53,1113,21
Banten,freshwater pond,2e3,NA,107544,NA
Banten,freshwater pond,2001,NA,98747,NA
Banten,freshwater pond,2002,NA,4583,NA
Banten,freshwater pond,2003,NA,6236,NA
Banten,freshwater pond,2004,NA,4741,NA
Banten,freshwater pond,2005,3332,5254,1.5768307322929171
Banten,freshwater pond,2006,6406,4972,0.7761473618482673
Banten,freshwater pond,2007,18213,8319,0.4567616537637951
Banten,freshwater pond,2008,68912,7423,0.10771708846064545
Banten,freshwater pond,2009,1912,9409,4.921025104602511
Banten,freshwater pond,2010,3520,12217,3.4707386363636363
Banten,freshwater pond,2011,3261,12864,3.9448022079116836
Banten,freshwater pond,2012,888,15381,17.320945945945947
Banten,freshwater pond,2013,4085,17061,4.176499388004896
Banten,freshwater pond,2014,4700,18289,3.8912765957446807
Banten,freshwater pond,2015,9245,17535,1.8967009194159006
Banten,marine culture,2e3,NA,NA,NA
Banten,marine culture,2001,NA,NA,NA
Banten,marine culture,2002,NA,NA,NA
Banten,marine culture,2003,NA,NA,NA
Banten,marine culture,2004,NA,2957,NA
Banten,marine culture,2005,11,5840,530.9090909090909
Banten,marine culture,2006,100,6627,66.27
Banten,marine culture,2007,270,6120,22.666666666666668
Banten,marine culture,2008,325,10944,33.673846153846156
Banten,marine culture,2009,328,5822,17.75
Banten,marine culture,2010,55,15024,273.1636363636364
Banten,marine culture,2011,55,16708,303.7818181818182
Banten,marine culture,2012,NA,17219,NA
Banten,marine culture,2013,55,21930,398.72727272727275
Banten,marine culture,2014,55,25671,466.74545454545455
Banten,marine culture,2015,22,26110,1186.8181818181818
Banten,nets step,2e3,NA,NA,NA
Banten,nets step,2001,NA,NA,NA
Banten,nets step,2002,NA,NA,NA
Banten,nets step,2003,NA,NA,NA
Banten,nets step,2004,NA,NA,NA
Banten,nets step,2005,NA,NA,NA
Banten,nets step,2006,NA,NA,NA
Banten,nets step,2007,NA,NA,NA
Banten,nets step,2008,NA,NA,NA
Banten,nets step,2009,NA,NA,NA
Banten,nets step,2010,NA,NA,NA
Banten,nets step,2011,NA,NA,NA
Banten,nets step,2012,NA,NA,NA
Banten,nets step,2013,NA,NA,NA
Banten,nets step,2014,NA,NA,NA
Banten,nets step,2015,NA,NA,NA
Banten,paddy field,2e3,NA,NA,NA
Banten,paddy field,2001,NA,NA,NA
Banten,paddy field,2002,NA,4784,NA
Banten,paddy field,2003,NA,5038,NA
Banten,paddy field,2004,NA,5093,NA
Banten,paddy field,2005,4166,5210,1.2506000960153625
Banten,paddy field,2006,4166,5150,1.2361977916466635
Banten,paddy field,2007,2123,4360,2.0536975977390486
Banten,paddy field,2008,5655,4020,0.7108753315649867
Banten,paddy field,2009,3277,3725,1.1367104058590174
Banten,paddy field,2010,5619,2327,0.41413062822566293
Banten,paddy field,2011,5818,739,0.12701959436232382
Banten,paddy field,2012,64,491,7.671875
Banten,paddy field,2013,5576,753,0.13504304160688665
Banten,paddy field,2014,5246,571,0.10884483415935951
Banten,paddy field,2015,6176,499,0.08079663212435233
Banten,total,2e3,NA,0,NA
Banten,total,2001,NA,128541,NA
Banten,total,2002,NA,84768,NA
Banten,total,2003,NA,78910,NA
Banten,total,2004,NA,22370,NA
Banten,total,2005,46511,27308,0.5871299262540044
Banten,total,2006,37499,28681,0.7648470625883357
Banten,total,2007,53291,34332,0.6442363626128239
Banten,total,2008,118314,38776,0.3277380529776696
Banten,total,2009,45431,35503,0.7814708018753714
Banten,total,2010,48151,86777,1.8021847936699134
Banten,total,2011,48255,91741,1.9011708631229924
Banten,total,2012,975,87134,89.36820512820513
Banten,total,2013,40007,99428,2.485265078611243
Banten,total,2014,55050,105635,1.9188919164396003
Banten,total,2015,56654,105426,1.8608747837751969
Bengkulu,brackish pond,2e3,NA,0,NA
Bengkulu,brackish pond,2001,NA,110,NA
Bengkulu,brackish pond,2002,NA,236,NA
Bengkulu,brackish pond,2003,NA,639,NA
Bengkulu,brackish pond,2004,NA,323,NA
Bengkulu,brackish pond,2005,186,152,0.8172043010752689
Bengkulu,brackish pond,2006,102,154,1.5098039215686274
Bengkulu,brackish pond,2007,129,165,1.2790697674418605
Bengkulu,brackish pond,2008,165,388,2.3515151515151516
Bengkulu,brackish pond,2009,226,490,2.168141592920354
Bengkulu,brackish pond,2010,142,503,3.5422535211267605
Bengkulu,brackish pond,2011,214,535,2.5
Bengkulu,brackish pond,2012,23819,50315,2.11238926907091
Bengkulu,brackish pond,2013,147,82822,563.4149659863946
Bengkulu,brackish pond,2014,147,828,5.63265306122449
Bengkulu,brackish pond,2015,132,1076,8.151515151515152
Bengkulu,cage,2e3,NA,NA,NA
Bengkulu,cage,2001,NA,NA,NA
Bengkulu,cage,2002,NA,NA,NA
Bengkulu,cage,2003,NA,NA,NA
Bengkulu,cage,2004,NA,58,NA
Bengkulu,cage,2005,NA,NA,NA
Bengkulu,cage,2006,3,3,1
Bengkulu,cage,2007,0,NA,NA
Bengkulu,cage,2008,0,1,Inf
Bengkulu,cage,2009,0,1,Inf
Bengkulu,cage,2010,NA,NA,NA
Bengkulu,cage,2011,NA,NA,NA
Bengkulu,cage,2012,26,559,21.5
Bengkulu,cage,2013,NA,634,NA
Bengkulu,cage,2014,NA,NA,NA
Bengkulu,cage,2015,NA,NA,NA
Bengkulu,floating cage,2e3,NA,NA,NA
Bengkulu,floating cage,2001,NA,NA,NA
Bengkulu,floating cage,2002,NA,NA,NA
Bengkulu,floating cage,2003,NA,NA,NA
Bengkulu,floating cage,2004,NA,20,NA
Bengkulu,floating cage,2005,26,7,0.2692307692307692
Bengkulu,floating cage,2006,1,28,28
Bengkulu,floating cage,2007,1,20,20
Bengkulu,floating cage,2008,0,18,Inf
Bengkulu,floating cage,2009,0,32,Inf
Bengkulu,floating cage,2010,0,41,Inf
Bengkulu,floating cage,2011,0,3,Inf
Bengkulu,floating cage,2012,317,3594,11.337539432176657
Bengkulu,floating cage,2013,0,3319,Inf
Bengkulu,floating cage,2014,0,1,Inf
Bengkulu,floating cage,2015,0,1,Inf
Bengkulu,freshwater pond,2e3,NA,12188,NA
Bengkulu,freshwater pond,2001,NA,7903,NA
Bengkulu,freshwater pond,2002,NA,115,NA
Bengkulu,freshwater pond,2003,NA,512,NA
Bengkulu,freshwater pond,2004,NA,359,NA
Bengkulu,freshwater pond,2005,104,536,5.153846153846154
Bengkulu,freshwater pond,2006,37,751,20.2972972972973
Bengkulu,freshwater pond,2007,33,693,21
Bengkulu,freshwater pond,2008,87,1033,11.873563218390805
Bengkulu,freshwater pond,2009,155,841,5.425806451612903
Bengkulu,freshwater pond,2010,146,1200,8.219178082191782
Bengkulu,freshwater pond,2011,186,1352,7.268817204301075
Bengkulu,freshwater pond,2012,13260,56076,4.2289592760181
Bengkulu,freshwater pond,2013,117,58573,500.62393162393164
Bengkulu,freshwater pond,2014,82,2275,27.74390243902439
Bengkulu,freshwater pond,2015,53,1028,19.39622641509434
Bengkulu,marine culture,2e3,NA,NA,NA
Bengkulu,marine culture,2001,NA,NA,NA
Bengkulu,marine culture,2002,NA,NA,NA
Bengkulu,marine culture,2003,NA,NA,NA
Bengkulu,marine culture,2004,NA,31,NA
Bengkulu,marine culture,2005,28,24,0.8571428571428571
Bengkulu,marine culture,2006,1,31,31
Bengkulu,marine culture,2007,1,24,24
Bengkulu,marine culture,2008,2,62,31
Bengkulu,marine culture,2009,20,712,35.6
Bengkulu,marine culture,2010,98,746,7.612244897959184
Bengkulu,marine culture,2011,179,4585,25.614525139664803
Bengkulu,marine culture,2012,742,10142,13.668463611859838
Bengkulu,marine culture,2013,77,7142,92.75324675324676
Bengkulu,marine culture,2014,53,1088,20.528301886792452
Bengkulu,marine culture,2015,10,1964,196.4
Bengkulu,nets step,2e3,NA,NA,NA
Bengkulu,nets step,2001,NA,NA,NA
Bengkulu,nets step,2002,NA,NA,NA
Bengkulu,nets step,2003,NA,NA,NA
Bengkulu,nets step,2004,NA,NA,NA
Bengkulu,nets step,2005,NA,NA,NA
Bengkulu,nets step,2006,NA,NA,NA
Bengkulu,nets step,2007,NA,NA,NA
Bengkulu,nets step,2008,NA,NA,NA
Bengkulu,nets step,2009,NA,NA,NA
Bengkulu,nets step,2010,NA,NA,NA
Bengkulu,nets step,2011,NA,NA,NA
Bengkulu,nets step,2012,NA,NA,NA
Bengkulu,nets step,2013,NA,NA,NA
Bengkulu,nets step,2014,0,6,Inf
Bengkulu,nets step,2015,8,235,29.375
Bengkulu,paddy field,2e3,NA,NA,NA
Bengkulu,paddy field,2001,NA,NA,NA
Bengkulu,paddy field,2002,NA,NA,NA
Bengkulu,paddy field,2003,NA,NA,NA
Bengkulu,paddy field,2004,NA,NA,NA
Bengkulu,paddy field,2005,NA,NA,NA
Bengkulu,paddy field,2006,NA,NA,NA
Bengkulu,paddy field,2007,NA,NA,NA
Bengkulu,paddy field,2008,NA,NA,NA
Bengkulu,paddy field,2009,NA,NA,NA
Bengkulu,paddy field,2010,NA,NA,NA
Bengkulu,paddy field,2011,NA,NA,NA
Bengkulu,paddy field,2012,172,56,0.32558139534883723
Bengkulu,paddy field,2013,NA,50,NA
Bengkulu,paddy field,2014,NA,NA,NA
Bengkulu,paddy field,2015,NA,NA,NA
Bengkulu,total,2e3,NA,NA,NA
Bengkulu,total,2001,NA,128080,NA
Bengkulu,total,2002,NA,136762,NA
Bengkulu,total,2003,NA,144536,NA
Bengkulu,total,2004,NA,791,NA
Bengkulu,total,2005,344,719,2.0901162790697674
Bengkulu,total,2006,144,966,6.708333333333333
Bengkulu,total,2007,163,903,5.539877300613497
Bengkulu,total,2008,253,1502,5.936758893280633
Bengkulu,total,2009,401,2077,5.179551122194514
Bengkulu,total,2010,387,2490,6.434108527131783
Bengkulu,total,2011,580,6474,11.162068965517241
Bengkulu,total,2012,38335,8108,0.21150384765879746
Bengkulu,total,2013,341,2160,6.334310850439882
Bengkulu,total,2014,281,4199,14.94306049822064
Bengkulu,total,2015,203,4305,21.20689655172414
DI Yogyakarta,brackish pond,2e3,NA,NA,NA
DI Yogyakarta,brackish pond,2001,NA,NA,NA
DI Yogyakarta,brackish pond,2002,NA,5075,NA
DI Yogyakarta,brackish pond,2003,NA,7599,NA
DI Yogyakarta,brackish pond,2004,NA,192,NA
DI Yogyakarta,brackish pond,2005,60951,213,0.003494610424767436
DI Yogyakarta,brackish pond,2006,48655,224,0.004603843387113349
DI Yogyakarta,brackish pond,2007,51609,301,0.0058323160689027105
DI Yogyakarta,brackish pond,2008,57512,428,0.007441925163444151
DI Yogyakarta,brackish pond,2009,50229,464,0.009237691373509327
DI Yogyakarta,brackish pond,2010,60649,268,0.00441886923114973
DI Yogyakarta,brackish pond,2011,59577,499,0.008375715460664351
DI Yogyakarta,brackish pond,2012,64815,602,0.009287973462932963
DI Yogyakarta,brackish pond,2013,51287,817,0.015929962758593794
DI Yogyakarta,brackish pond,2014,51195,2495,0.04873522804961422
DI Yogyakarta,brackish pond,2015,51778,3372,0.06512418401637761
DI Yogyakarta,cage,2e3,NA,114,NA
DI Yogyakarta,cage,2001,NA,143,NA
DI Yogyakarta,cage,2002,NA,57,NA
DI Yogyakarta,cage,2003,NA,58,NA
DI Yogyakarta,cage,2004,NA,238,NA
DI Yogyakarta,cage,2005,24,112,4.666666666666667
DI Yogyakarta,cage,2006,6,56,9.333333333333334
DI Yogyakarta,cage,2007,10,47,4.7
DI Yogyakarta,cage,2008,7,62,8.857142857142858
DI Yogyakarta,cage,2009,1,65,65
DI Yogyakarta,cage,2010,1,91,91
DI Yogyakarta,cage,2011,2,85,42.5
DI Yogyakarta,cage,2012,2,75,37.5
DI Yogyakarta,cage,2013,1,39,39
DI Yogyakarta,cage,2014,1,40,40
DI Yogyakarta,cage,2015,1,40,40
DI Yogyakarta,floating cage,2e3,NA,NA,NA
DI Yogyakarta,floating cage,2001,NA,NA,NA
DI Yogyakarta,floating cage,2002,NA,NA,NA
DI Yogyakarta,floating cage,2003,NA,NA,NA
DI Yogyakarta,floating cage,2004,NA,NA,NA
DI Yogyakarta,floating cage,2005,NA,192,NA
DI Yogyakarta,floating cage,2006,6,147,24.5
DI Yogyakarta,floating cage,2007,7,18,2.5714285714285716
DI Yogyakarta,floating cage,2008,11,17,1.5454545454545454
DI Yogyakarta,floating cage,2009,23,10,0.43478260869565216
DI Yogyakarta,floating cage,2010,NA,13,NA
DI Yogyakarta,floating cage,2011,192,22,0.11458333333333333
DI Yogyakarta,floating cage,2012,541,14,0.025878003696857672
DI Yogyakarta,floating cage,2013,300,16,0.05333333333333334
DI Yogyakarta,floating cage,2014,253,1,0.003952569169960474
DI Yogyakarta,floating cage,2015,259,0,0
DI Yogyakarta,freshwater pond,2e3,NA,21133,NA
DI Yogyakarta,freshwater pond,2001,NA,25062,NA
DI Yogyakarta,freshwater pond,2002,NA,4737,NA
DI Yogyakarta,freshwater pond,2003,NA,7041,NA
DI Yogyakarta,freshwater pond,2004,NA,5463,NA
DI Yogyakarta,freshwater pond,2005,2379,8225,3.457335014712064
DI Yogyakarta,freshwater pond,2006,1600,9059,5.661875
DI Yogyakarta,freshwater pond,2007,1669,11427,6.846614739364889
DI Yogyakarta,freshwater pond,2008,2130,14100,6.619718309859155
DI Yogyakarta,freshwater pond,2009,2e3,17009,8.5045
DI Yogyakarta,freshwater pond,2010,20281,38772,1.9117400522656673
DI Yogyakarta,freshwater pond,2011,3399,43795,12.884671962341866
DI Yogyakarta,freshwater pond,2012,20496,49412,2.4108118657298987
DI Yogyakarta,freshwater pond,2013,39080,57006,1.4587001023541453
DI Yogyakarta,freshwater pond,2014,16204,62276,3.8432485805973835
DI Yogyakarta,freshwater pond,2015,16517,65542,3.9681540231276866
DI Yogyakarta,marine culture,2e3,NA,NA,NA
DI Yogyakarta,marine culture,2001,NA,NA,NA
DI Yogyakarta,marine culture,2002,NA,NA,NA
DI Yogyakarta,marine culture,2003,NA,NA,NA
DI Yogyakarta,marine culture,2004,NA,NA,NA
DI Yogyakarta,marine culture,2005,41,NA,NA
